id,name,trafficType,municipality,county,roadCategory,road_ref,lat,lon
53222V2438139,Oppdal E6 sørlig,VEHICLE,Oppdal,Trøndelag,E,EV6 S61D1 m10416,62.578798,9.659034
97853V384482,VASSENDEN,VEHICLE,Sunnfjord,Vestland,E,EV39 S55D1 m11798,61.502797,6.129846
17291V181259,FRYDENLUND,VEHICLE,Lier,Viken,E,EV18 S47D1 m206,59.752435,10.245982
46288V1060102,GARMO SØR,VEHICLE,Vågå,Innlandet,R,RV15 S4D1 m7001,61.846491,8.878035
89094V3154514,Svartdalstunellen mot Ryen,VEHICLE,Oslo,Oslo,E,EV6 S16D10 m3666,59.899245,10.802248
51336V1060118,VIKODDEN (FV33),VEHICLE,Gjøvik,Innlandet,F,FV33 S7D1 m15381,60.788165,10.697146
48597V1900354,Skogmo mot Namsos,VEHICLE,Overhalla,Trøndelag,F,FV17 S12D1 m3835,64.50541,11.996981
43294V181263,MEHEIA STASJON,VEHICLE,Kongsberg,Viken,E,EV134 S41D1 m4645,59.629705,9.499576
24744V1060155,ROTERUD (FV216),VEHICLE,Lillehammer,Innlandet,F,FV216 S5D1 m2109,61.097355,10.55905
95842V578214,Bogen,VEHICLE,Nærøysund,Trøndelag,F,FV771 S4D1 m5860,65.072507,11.952446
40366V521376,Brattåstunnelen syd,VEHICLE,Porsgrunn,Vestfold og Telemark,E,EV18 S26D1 m6482,59.087049,9.664831
29949B2713572,Bærheim sykkel,BICYCLE,Sandnes,Rogaland,K,KV443 S1D1 m345,58.88326,5.689185
69207B1875240,Siljanvegen sykkeltellepunkt,BICYCLE,Skien,Vestfold og Telemark,F,FV32 S6D140 m778,59.221003,9.60462
07034V805643,STEINDALEN BOMST.,VEHICLE,Kvam,Vestland,F,FV49 S8D1 m7739,60.362647,6.070751
90659V1825895,Mettedalsrkj mot Steinkjer,VEHICLE,Namsos,Trøndelag,F,FV17 S9D1 m3974,64.444859,11.52112
88864V521377,Stokkebakken,VEHICLE,Bamble,Vestfold og Telemark,E,EV18 S25D10 m5341,58.981345,9.605299
50344V444250,LØKEN,VEHICLE,Aurskog-Høland,Viken,F,FV115 S10D1 m6863,59.788,11.464453
79102V971505,TOMB SØR,VEHICLE,Råde,Viken,F,FV116 S1D1 m7857,59.314872,10.799157
51706V805611,ÅDLAND FARTSTAVLE,VEHICLE,Stord,Vestland,E,EV39 S85D1 m4008,59.802499,5.49578
02460V886024,Sandkollen,VEHICLE,Bodø,Nordland,F,FV812 S4D1 m14700,67.207704,14.949018
27673V443867,ASKER SLEPENDEN,VEHICLE,Asker,Viken,F,FV1424 S2D1 m286,59.876976,10.501869
81750V1060414,NORDSETERVEGEN,VEHICLE,Lillehammer,Innlandet,F,FV2520 S1D1 m8538,61.152674,10.557565
86188V2030844,Solhov,VEHICLE,Lyngen,Troms og Finnmark,F,FV868 S3D1 m8479,69.558639,20.218214
